-1.833333253860473633e+00,1.059005420972003583e-03
-1.500000000000000000e+00,3.106415901517876801e-03
-1.166666746139526367e+00,7.201236862609622369e-03
-8.333333134651184082e-01,2.393352251396727720e-02
-5.000000000000000000e-01,8.493223476195467525e-02
-1.666666567325592041e-01,2.005756267320974173e-01
1.666666865348815918e-01,4.288265951322632330e-01
5.000000000000000000e-01,7.586714835843433313e-01
8.333333730697631836e-01,1.088657572759219372e+00
1.166666746139526367e+00,1.521437788129778257e+00
1.500000000000000000e+00,1.737545494369465260e+00
1.833333253860473633e+00,1.619642890834582127e+00
2.166666746139526367e+00,1.347619698367573671e+00
2.500000000000000000e+00,1.042202534959247640e+00
2.833333492279052734e+00,8.649250274885341705e-01
3.166666746139526367e+00,7.704617439378315114e-01
3.500000000000000000e+00,8.292718449824767468e-01
3.833333492279052734e+00,9.953238949908871369e-01
4.166666507720947266e+00,1.147044071635475726e+00
4.500000000000000000e+00,1.226398877846977875e+00
4.833333015441894531e+00,1.207689782076472484e+00
5.166666507720947266e+00,1.119086328521814888e+00
5.500000000000000000e+00,1.082091739149193099e+00
5.833333015441894531e+00,1.057946415551031638e+00
6.166666507720947266e+00,1.044320545801191713e+00
6.500000000000000000e+00,1.035848502433415641e+00
6.833333015441894531e+00,1.043120339657423568e+00
7.166666507720947266e+00,1.031400679665333220e+00
7.500000000000000000e+00,1.057522813382642646e+00
7.833333015441894531e+00,1.082868343124572696e+00
8.166666984558105469e+00,1.072772491444639265e+00
8.500000000000000000e+00,1.070019077350111925e+00
8.833333969116210938e+00,1.060911630729753030e+00
9.166666984558105469e+00,1.067901066508168295e+00
9.500000000000000000e+00,1.043826343271404555e+00
9.833333969116210938e+00,1.060276227477169764e+00
